query,street_norm,city,zip5,latitude,longitude,source
"7500 Blessing Ave, Austin, TX, 78752",7500 Blessing Ave,Austin,78752,30.332027518138,-97.69306280548,prior
"1621 E Cesar Chavez St, Austin, TX, 78702",1621 E Cesar Chavez St,Austin,78702,30.258311491577,-97.728239233474,prior
"5717 S I-35, Austin, TX, 78744",5717 S I-35,Austin,78744,30.19759112093,-97.764110421245,prior
"1111 E 6th St, Austin, TX, 78702",1111 E 6th St,Austin,78702,30.264639982075,-97.731420888872,prior
"1512 E 6th St, Austin, TX, 78702",1512 E 6th St,Austin,78702,30.263386285056,-97.727348264146,prior
"5610 N I-35, Austin, TX, 78751",5610 N I-35,Austin,78751,30.312662097842,-97.709046255674,prior
"4100 Westbank Dr, Austin, TX, 78746",4100 Westbank Dr,Austin,78746,30.275097825537,-97.814034754916,prior
"11794 Jollyville Rd, Austin, TX, 78759",11794 Jollyville Rd,Austin,78759,30.421999095882,-97.754881599283,prior
"1030 Norwood Park Blvd #, Austin, TX, 78753",1030 Norwood Park Blvd #,Austin,78753,30.338492757829,-97.692468582217,prior
"12401 Scofield Farms Dr, Austin, TX, 78758",12401 Scofield Farms Dr,Austin,78758,30.408523339566,-97.688100067958,prior
"161 W Slaughter Ln, Austin, TX, 78748",161 W Slaughter Ln,Austin,78748,30.167081482153,-97.791165374946,prior
"1815 Airport Blvd, Austin, TX, 78702",1815 Airport Blvd,Austin,78702,30.281418441901,-97.703128557999,prior
"117 W 4th St, Austin, TX, 78701",117 W 4th St,Austin,78701,30.266227613543,-97.743775048178,prior
"110 E 2nd St, Austin, TX, 78701",110 E 2nd St,Austin,78701,30.264323411705,-97.743988588308,prior
"1315 S Congress Ave, Austin, TX, 78704",1315 S Congress Ave,Austin,78704,30.250901846543,-97.749114310506,prior
"1101 Music Ln, Austin, TX, 78704",1101 Music Ln,Austin,78704,30.252576847298,-97.747948808534,prior
"136 W Slaughter Ln, Austin, TX, 78748",136 W Slaughter Ln,Austin,78748,30.167285929191,-97.789809147387,prior
"503 W Martin Luther King Jr Blvd, Austin, TX, 78701",503 W Martin Luther King Jr Blvd,Austin,78701,30.281937339805,-97.742851157717,prior
"1115 E 11th St, Austin, TX, 78702",1115 E 11th St,Austin,78702,30.268991457539,-97.72883220401,prior
"405 Colorado St, Austin, TX, 78701",405 Colorado St,Austin,78701,30.266641222433,-97.744715995569,prior
"121 E 5th St, Austin, TX, 78701",121 E 5th St,Austin,78701,30.266980563779,-97.742880413108,prior
"5111 Airport Blvd, Austin, TX, 78751",5111 Airport Blvd,Austin,78751,30.312209501448,-97.715261287536,prior
"1011 S Congress Ave, Austin, TX, 78704",1011 S Congress Ave,Austin,78704,30.254521912862,-97.747778642231,prior
"5630 Cameron Rd, Austin, TX, 78723",5630 Cameron Rd,Austin,78723,30.31435412522,-97.703464641152,prior
