facility_id,name,street,city,n,mean_score,min_score,max_score,latest,latest_score,category,venue
11066744,Taco Bell #030139,3501 Wells Branch Pkwy,Austin,5,97,94,100,2026-02-17,100,Restaurant & Food Service,Taco Bell
11152173,Dollar General # 6619,2205 W Pecan St,Pflugerville,3,97,92,100,2026-04-17,92,Convenience & Fuel,Dollar General
11178828,Kellie's Baking Co.,5245 Burnet Rd,Austin,3,97,95,100,2025-12-23,100,Restaurant & Food Service,Kellie's Baking Co.
11275726,CVS Pharmacy # 10139,7300 N FM 620 Rd,Austin,3,97,95,98,2026-02-24,98,Convenience & Fuel,CVS Pharmacy
11468467,Child Craft School,800 W 30th St,Austin,5,97,95,99,2026-04-22,95,School & Childcare,Child Craft School
11474011,MN - Starbucks # 26036,12608 Lexington St,Manor,6,97,92,100,2026-03-04,98,Restaurant & Food Service,MN - Starbucks
11663014,Sprinkles,3120 Palm Way Ste 100,Austin,4,97,94,99,2025-09-24,94,Restaurant & Food Service,Sprinkles
11663244,Austin Ridge Bible Church,9300 FM 2244 Rd,Austin,5,97,95,99,2026-02-17,96,Restaurant & Food Service,Austin Ridge Bible Church
11688224,First Watch Restaurants #351,2525 W Anderson Ln Unit 145,Austin,3,97,96,98,2026-02-03,97,Restaurant & Food Service,First Watch Restaurants
12134127,Candlewood Suites Austin N,8000 Cross Park Dr,Austin,3,97,95,98,2025-11-19,98,Restaurant & Food Service,Candlewood Suites Austin N
12134961,3Ten,310 W 2nd St Unit 1A,Austin,3,97,95,100,2025-10-27,96,Restaurant & Food Service,3Ten
12176463,Omni Barton Creek Resort & Spa - Banquet Kitchen,8212 Barton Club Dr Bldg G,Austin,5,97,93,99,2026-01-21,96,Restaurant & Food Service,Omni Barton Creek Resort & Spa - Banquet Kitchen
12183593,Omni Barton Creek Resort & Spa - Velvet Joes,8212 Barton Club Dr,Austin,3,97,94,100,2026-01-21,94,Restaurant & Food Service,Omni Barton Creek Resort & Spa - Velvet Joes
12186155,American YouthWorks,1901 E Ben White Blvd,Austin,4,97,96,98,2025-11-21,97,Restaurant & Food Service,American YouthWorks
12186303,Southside Market & BBQ,10515 N Mopac NB Expy Unit 225,Austin,5,97,94,100,2026-04-16,98,Restaurant & Food Service,Southside Market & BBQ
