permitID,facility_id,match_method,confidence,n_shared_events,p_name_raw,p_addr_raw,p_city,p_zip,i_name_raw,i_addr_raw,status
0C020B7F-93D2-4CFA-AFB8-000B1FAC6185,11066744,name+street+zip,exact,NA,Taco Bell #030139,3501 Wells Branch Pkwy,Austin,78728,Taco Bell #030139,3501 Wells Branch Pkwy,matched
DD11E5A0-6A9F-4583-8315-AC1733C5D023,11066742,name+street+zip,exact,NA,Taco Bell #030140,201 E Oltorf St,Austin,78704,Taco Bell #030140,201 E Oltorf St,matched
73CB874B-A244-4D6B-BEF0-57FE3A0706EF,11066733,name+street+zip,exact,NA,Taco Bell #030141,4811 W Braker Ln,Austin,78759,Taco Bell #030141,4811 W Braker Ln,matched
FC1F81D5-B52B-4C4F-9560-D38F664F0048,11066421,name+street+zip,exact,NA,Taco Bell #030144,3421 W William Cannon Dr,Austin,78745,Taco Bell #030144,3421 W William Cannon Dr,matched
5093C83B-8ED3-4E87-842F-8A6E2FF5AD94,11066411,name+street+zip,exact,NA,Taco Bell #030146,6511 S Ih 35,Austin,78744,Taco Bell #030146,6511 S Ih 35,matched
42BF1066-8F5F-442B-9097-3CE38CB81F02,11066732,name+street+zip,exact,NA,Taco Bell #030153,5604 Cameron Rd,Austin,78723,Taco Bell #030153,5604 Cameron Rd,matched
31DC0F6E-2629-4F19-B6B3-63C2661D4756,11066724,name+street+zip,exact,NA,Taco Bell #030157,1016 E ANDERSON WB LN,AUSTIN,78753,Taco Bell #030157,1016 E ANDERSON WB LN,matched
2D22EEEE-DE78-402E-A3AA-E5490B4F62CE,11066721,name+street+zip,exact,NA,Taco Bell #030168,2600 W Braker Ln,Austin,78758,Taco Bell #030168,2600 W Braker Ln,matched
7585DA3A-5DE2-43A9-9AB1-B854EFB1DFB1,11096280,name+street+zip,exact,NA,Taco Bell #030263,1548 E Parmer Ln,Austin,78753,Taco Bell #030263,1548 E Parmer Ln,matched
9ABDF347-A7D0-452B-B581-0E318B00B556,11066752,name+street+zip,exact,NA,Taco Bell #30081,7515 N FM 620 Rd,Austin,78726,Taco Bell #30081,7515 N FM 620 Rd,matched
75C7317B-B416-45C9-BFE1-239372176B6F,11066597,name+street+zip,exact,NA,Taco Bell #30088,1825 W Parmer Ln,Austin,78727,Taco Bell #30088,1825 W Parmer Ln,matched
235BA9AB-21BC-4898-B1DB-503E28E066D9,11066790,name+street+zip,exact,NA,Taco Bell #30099,7793 Burnet Rd,Austin,78757,Taco Bell #30099,7793 Burnet Rd,matched
7EE46C2C-2C15-47BC-98F4-21556FB72B25,11066396,name+street+zip,exact,NA,Taco Bell #30150,9504 N Lamar Blvd,Austin,78753,Taco Bell #30150,9504 N Lamar Blvd,matched
254DD35B-4A88-4A6F-9B81-BE4E586246A1,11037878,name+street+zip,exact,NA,Taco Cabana,5242 N Lamar Blvd,Austin,78751,Taco Cabana,5242 N Lamar Blvd,matched
9622ADB0-2CD2-4D73-8E54-EEAA07CECE1C,2801246,name+street+zip,exact,NA,Taco Cabana,15002 FM 1825,Pflugerville,78660,Taco Cabana,15002 FM 1825,matched
025DF96D-F04A-4002-8616-1214B49233D9,2800869,name+street+zip,exact,NA,Taco Cabana #127,9605  RESEARCH NB BLVD,AUSTIN,78759,Taco Cabana #127,9605 RESEARCH NB BLVD,matched
E282C8ED-47C3-47B0-8B1B-257A7645D02E,2800946,name+street+zip,exact,NA,Taco Cabana #128,12525 N MOPAC NB EXPY,AUSTIN,78727,Taco Cabana #128,12525 N MOPAC NB EXPY,matched
559C0AC3-0402-4D6A-89C2-19E4AA86E4A5,2800922,name+street+zip,exact,NA,Taco Cabana #129,2507 E Riverside Dr,Austin,78741,Taco Cabana #129,2507 E Riverside Dr,matched
BF35DF60-3536-4581-B7B5-C4549F37EAC4,2800939,name+street+zip,exact,NA,Taco Cabana #140,6430 S Ih 35,Austin,78745,Taco Cabana #140,6430 S Ih 35,matched
F52CEDEE-44B2-4EC2-A614-BD98D2440DBD,2801240,name+street+zip,exact,NA,Taco Cabana #199,9705 Menchaca Rd,Austin,78748,Taco Cabana #199,9705 Menchaca Rd,matched
29AC8AED-FF78-4254-917A-CF922C3C1657,2800517,name+street+zip,exact,NA,Taco Cabana #203,8415  RESEARCH NB BLVD,AUSTIN,78758,Taco Cabana #203,8415 RESEARCH NB BLVD,matched
73D78ACF-D232-401A-845F-8A9813A8A125,2800531,name+street+zip,exact,NA,Taco Cabana #206,2117 W Ben White Blvd,Austin,78704,Taco Cabana #206,2117 W Ben White Blvd,matched
EFE371D4-111B-4BE2-B51C-15BA0CC23EDF,2802942,name+street+zip,exact,NA,Taco Cabana #278,6611 S MOPAC NB EXPY,AUSTIN,78749,Taco Cabana #278,6611 S MOPAC NB EXPY,matched
C80C3A25-C812-4D73-9CF6-DCCE24D9234C,2800474,name+street+zip,exact,NA,Taco Cabana Patio Rest #125,13376 N US 183 HWY SB SVRD,AUSTIN,78750,Taco Cabana Patio Rest #125,13376 N US 183 HWY SB SVRD,matched
761BE869-080E-4F9D-AEA0-029275335CC2,2802421,name+street+zip,exact,NA,Taco Deli,12001 Burnet Rd,Austin,78758,Taco Deli,12001 Burnet Rd,matched
3AEB33B8-9E81-4A92-9637-7218E2A0BDDE,2801355,name+num+zip,exact,NA,Taco Deli,1500 Spyglass Dr Ste B,Austin,78746,Taco Deli,1500 Spyglass Dr,matched
3CE71AD3-0B76-47BF-ADC6-54814CD636FF,12392665,name+street+zip,exact,NA,Taco Familiar,5517 Cameron Rd,Austin,78723,Taco Familiar,5517 Cameron Rd,matched
60DDF58C-65C5-4CE5-896A-772C37359833,11206262,name+street+zip,exact,NA,Taco Flats,5520 Burnet Rd Ste 101,Austin,78756,Taco Flats,5520 Burnet Rd Ste 101,matched
519A0A04-D480-4E40-87F3-324C2C931C57,12186204,name+street+zip,exact,NA,Taco Flats Clarksville,1110 W Lynn St,Austin,78703,Taco Flats Clarksville,1110 W Lynn St,matched
26F617CE-555A-489A-BA43-0C34642C102D,12397182,name+street+zip,exact,NA,Taco Flats Riata,12221 Riata Trace Pkwy Ste 100,Austin,78727,Taco Flats-Riata,12221 Riata Trace Pkwy Ste 100,matched
4457D96C-2436-4814-8EF7-69DDE6C349C6,2801963,name+street+zip,exact,NA,Taco Joint,2809 San Jacinto Blvd,Austin,78705,Taco Joint,2809 San Jacinto Blvd,matched
8B91C67B-92E7-485E-AAF3-E499A8CAE622,11526829,name+street+zip,exact,NA,Taco Joint,134 E Riverside Dr,Austin,78704,Taco Joint,134 E Riverside Dr,matched
0FC3678C-B251-494A-980B-5938170E54AB,10006920,name+street+zip,exact,NA,Taco More,9414 Parkfield Dr Unit 2,Austin,78758,Taco More,9414 Parkfield Dr Unit 2,matched
BA066542-A802-49FD-9C07-716CBAE7ED93,2802210,name+street+zip,exact,NA,Taco More,1325 Rutland Dr,Austin,78758,Taco More,1325 Rutland Dr,matched
33743E3D-6F80-432B-A9FE-3CFA76633DB2,10779388,name+street+zip,exact,NA,Taco More Restaurant,2015 E Riverside Dr # Bunit # A,Austin,78741,Taco More Restaurant,2015 E Riverside Dr # Bunit # A,matched
8402C093-41F7-4CC9-A38A-F0DBF9878DB6,12401474,name+street+zip,exact,NA,Taco Palenque,13201 N FM 620 NB RD Bldg S,AUSTIN,78729,Taco Palenque,13201 N FM 620 NB RD Bldg S,matched
4B70EB90-3936-4284-AA48-9FE95E265995,12394859,name+street+zip,exact,NA,Taco Pegaso & The Market,111 Congress Ave Bldg 2,Austin,78701,Taco Pegaso & The Market,111 Congress Ave Bldg 2,matched
